!!!	2
1980_год_в_авиации	1
40_Glocc	1
50_Cent	5
A-Trak	1
AOL	7
ARC_(формат_файла)	1
Abbath	5
Adelitas_Way	1
Aerosmith	2
Aesop_Rock	1
Afrika_Bambaataa	6
Air	2
Akala	1
Alessi's_Ark	1
Aliya	1
Alizée	7
All_Saints	1
Aloe_Blacc	2
Alva_Noto	2
Andrew_Handyside_and_Company	1
Andy_C	5
Anomie_Belle	1
Anouk	1
Aphex_Twin	10
Apl.de.ap	8
Apollyon	1
Arabian_Prince	1
As_I_Lay_Dying	1
Asia	2
Assemblage_23	2
B-Real	1
B.o.B	1
BT_(музыкант)	3
Backstreet_Boys	1
Bad_Manners	1
Baha_Men	1
BarlowGirl	1
Basshunter	3
Bat_for_Lashes	2
Becca	1
Big_Boi	2
Big_L	1
Big_Pun	1
Big_Sean	1
Birdman	2
Bizarre	2
Blind_Blake	1
Blindside	1
Blockhead	1
Blood,_Sweat_&_Tears	2
BoA	2
Bong-Ra	4
Bonobo	2
Breaking_Benjamin	1
British_Sea_Power	1
Brotha_Lynch_Hung	1
Brothers_in_Arms_(серия_игр)	3
Brujeria	1
Buckethead	7
Bushido	2
Bénabar	3
C-Block	1
C._C._Catch	5
Calibre	2
Camel_(группа)	4
Captain_Beefheart	29
Cashis	2
Cat_Power	3
Cazwell	1
Cee_Lo_Green	9
Chamillionaire	3
Citizen_Cope	2
Clawfinger	1
Cobra_Starship	1
Common	2
Compaq	1
Cut_Chemist	1
DJ_Aligator	3
DJ_BoBo	5
DJ_Khaled	1
DJ_Krush	2
DJ_Lethal	1
DJ_Mehdi	1
DJ_Shadow	7
DJ_Smash	4
DJ_Subroc	1
DJ_Tomekk	1
DJ_Yella	1
DMX	2
Da_Brat	1
Daddy_Yankee	2
Danger_Mouse	2
Danja	1
Dato	3
Deadmau5	4
Decoder	2
Deere_&_Company	2
Demonaz	4
Demoniac	1
Diam's	1
Diamond_Rings	4
Dido	4
Die_Fantastischen_Vier	2
Dingo_(группа)	1
Dirty_Old_Town	1
Dirty_South	6
Dr._Dre	4
Dr._Luke	2
Dry_Kill_Logic	1
E-Type	2
E.D.I	1
Eazy-E	3
Echobelly	1
Edguy	1
El-P	1
Emperor_Magus_Caligula	6
Epica	2
Evidence	1
Ex-plosion	2
F._R._David	2
Falco_(музыкант)	3
Fancy	2
Fat_Joe	1
Fatboy_Slim	11
Faust_(музыкант)	1
Felix_Da_Housecat	1
Fenriz	4
Fergie	11
Fish	4
Five_For_Fighting	1
Foo_Fighters_(альбом)	1
Four_Tet	5
Foxy_Shazam	1
Frankenstein_Drag_Queens_from_Planet_13	2
Frankie_Goes_to_Hollywood	2
Fredro_Starr	1
Freeway_(рэпер)	2
GG_Allin	1
GNU_LilyPond	4
GWAR	2
GZA	2
Gackt	2
Gareth_Emery	2
GeoCities	2
Ghostface_Killah	1
Gigi_D'agostino	3
Girlicious	1
Girls'_Generation	2
Golden_Earring	2
Grave_Digger	1
Guano_Apes	3
Gucci_Mane	1
Guru	1
Günther_(музыкант)	2
Hallucinogen	5
Hawkwind	1
Hector_(певец)	6
Herman's_Hermits	1
Hey!_Say!_JUMP	1
Hide	4
Hollywood_Undead	4
Hoobastank	2
Horgh	3
Hussein_Fatal	3
IAMX	4
ICE_MC	1
ICS_Vortex	1
IU_(певица)	1
Ice-T	4
Ice_Cube	2
Immortal_Technique	1
In_the_Groove_(серия)	1
Inna	3
Inner_City_Unit	1
Iron_Butterfly	2
Ivy_Queen	3
J._Cole	1
Jay-Z	6
Junkie_XL	2
Just_Blaze	2
K'naan	3
K-Maro	7
KRS-One	7
KT_Tunstall	1
KV35YL	1
Kamelot	1
Kanon	4
Kat_Von_D	1
King_Diamond	3
King_ov_Hell	2
Kings_of_Leon	2
Kode9	3
Kokia	3
Kotoko	2
Kottonmouth_Kings	1
Krafty_Kuts	1
Kylee_(певица)	3
L.A._Guns	3
LL_Cool_J	2
LaFee	1
La_Bottine_souriante	2
Lacuna_Coil	1
Lady_Sovereign	1
Lil_Jon	3
Lil_Mama	2
Lil_Wayne	4
Lil’_Kim	6
Little_Boots	1
Little_Busters!	2
Lord_Kaiaphas	1
Ludacris	2
Lupe_Fiasco	4
M.I.A._(певица)	2
M.I.K.E	1
MC_Breed	2
MC_Hammer	2
Madlib	1
Marco_V	1
Mastodon	3
Matia_Bazar	2
Max_Hardcore	1
May'n	4
Melody	3
Merzbow	2
Method_Man	3
MiOdio	1
Miss_Kittin	2
Miss_Li	2
Miyavi	2
Mo-Do	1
Muslimgauze	4
Nana_(музыкант)	3
Nas	2
Nate_Dogg	1
Nato_(певица)	2
Ne-Yo	3
Nelly	2
Never_Shout_Never	1
Newsboys	1
Nipsey_Hussle	1
Nocturno_Culto	2
Obituary	1
Oh_No	1
Onyx	2
Panda_Bear	1
